Date,Close-Last,Volume,Open,High,Low,,,
04-29-2019,91.45 ,615222,90.00 ,91.60 ,89.84 ,,,
04-26-2019,89.86 ,791435,89.63 ,90.09 ,88.76 ,,,
04-25-2019,89.44 ,734371,88.85 ,89.58 ,88.22 ,,,
04-24-2019,89.18 ,934402,89.89 ,91.29 ,87.97 ,,,
04-23-2019,89.65 ,1235161,89.76 ,90.19 ,89.35 ,,,
04-22-2019,89.73 ,475460,89.92 ,90.11 ,89.30 ,,,
04-18-2019,89.99 ,556422,90.28 ,90.56 ,89.80 ,,,
04-17-2019,90.20 ,457095,89.81 ,90.36 ,89.52 ,,,
04-16-2019,89.75 ,536764,88.84 ,89.85 ,88.46 ,,,
04-15-2019,88.47 ,368161,87.80 ,88.67 ,87.39 ,,,
04-12-2019,87.80 ,647177,87.76 ,87.97 ,86.93 ,,,
04-11-2019,87.03 ,889620,87.65 ,87.81 ,86.52 ,,,
04-10-2019,87.50 ,600396,87.86 ,87.94 ,87.07 ,,,
04-09-2019,87.70 ,396799,88.34 ,88.87 ,87.45 ,,,
04-08-2019,88.76 ,567432,88.61 ,89.38 ,87.99 ,,,
04-05-2019,88.59 ,780396,89.43 ,89.48 ,88.18 ,,,
04-04-2019,89.18 ,487805,89.30 ,89.63 ,88.67 ,,,
04-03-2019,89.30 ,674048,89.60 ,89.88 ,89.00 ,,,
04-02-2019,89.01 ,674905,88.30 ,89.09 ,88.10 ,,,
04-01-2019,88.40 ,636926,88.23 ,88.57 ,87.64 ,,,
03-29-2019,87.49 ,1221094,87.26 ,87.83 ,86.90 ,,,
03-28-2019,86.74 ,626161,86.22 ,86.80 ,85.85 ,,,
03-27-2019,86.10 ,1093366,85.79 ,86.22 ,85.19 ,,,
03-26-2019,85.82 ,540951,85.36 ,85.93 ,84.94 ,,,
03-25-2019,84.91 ,725651,83.95 ,85.34 ,83.95 ,,,
03-22-2019,83.89 ,725263,83.81 ,84.33 ,83.31 ,,,
03-21-2019,84.35 ,593050,83.08 ,84.66 ,83.08 ,,,
03-20-2019,83.36 ,571033,84.15 ,84.47 ,83.20 ,,,
03-19-2019,84.14 ,518878,84.57 ,85.30 ,83.82 ,,,
03-18-2019,84.24 ,583488,83.80 ,84.44 ,83.80 ,,,
03-15-2019,83.55 ,1149103,84.00 ,84.60 ,83.41 ,,,
03-14-2019,83.99 ,843828,84.72 ,85.01 ,83.81 ,,,
03-13-2019,85.05 ,1062838,84.19 ,85.97 ,83.90 ,,,
03-12-2019,83.82 ,849918,84.35 ,84.45 ,83.78 ,,,
03-11-2019,84.02 ,892601,83.76 ,84.33 ,83.74 ,,,
03-08-2019,83.44 ,1574471,85.23 ,85.47 ,82.22 ,,,
03-07-2019,85.97 ,2419809,87.67 ,87.67 ,85.71 ,,,
03-06-2019,87.67 ,980913,88.96 ,89.00 ,87.29 ,,,
03-05-2019,88.74 ,827057,90.15 ,90.30 ,88.40 ,,,
03-04-2019,90.15 ,790771,92.17 ,92.49 ,89.59 ,,,
03-01-2019,91.99 ,663598,92.21 ,92.51 ,91.65 ,,,
02-28-2019,91.57 ,647855,90.87 ,91.59 ,90.87 ,,,
02-27-2019,90.80 ,1046610,90.86 ,91.40 ,90.72 ,,,
02-26-2019,91.10 ,1241699,90.15 ,91.24 ,90.00 ,,,
02-25-2019,90.14 ,1232393,89.42 ,90.56 ,89.41 ,,,
02-22-2019,89.04 ,685962,88.10 ,89.10 ,88.10 ,,,
02-21-2019,88.07 ,960466,88.16 ,88.25 ,87.65 ,,,
02-20-2019,88.08 ,755046,87.75 ,88.09 ,87.22 ,,,
